"number","title","state","created_at","updated_at","closed_at","html_url","body"
"6","Stride Symbol Ambiguity Causes Compilation Failure on A5 Platform (CANN 9.0.0)","closed","2026-03-09T11:45:50Z","2026-03-09T12:46:39Z","2026-03-09T12:46:39Z","https://github.com/hw-native-sys/pto-isa/issues/6","## Stride Symbol Ambiguity Causes Compilation Failure on A5 Platform (CANN 9.0.0)

### Description

Compiling PTO kernels on the A5 platform with the CANN 9.0.0 bisheng compiler fails due to a `Stride` name conflict between PTO and a newly introduced CANN built-in type.

### Error
```bash
error: reference to 'Stride' is ambiguous
using DynStridDim5 = Stride<1, 1, 1, kTCols_, 1>;
^
/usr/local/Ascend/cann-9.0.0/tools/bisheng_compiler/lib/clang/15.0.5/include/__clang_cce_vector_intrinsics.h:114:12: note: candidate found by name lookup is 'Stride'
enum class Stride {
^
/path/to/pto-isa/include/pto/common/pto_tile.hpp:138:8: note: candidate found by name lookup is 'pto::Stride'
struct Stride {
^
```


### Root Cause

CANN 9.0.0 introduced `enum class Stride` in global scope via `__clang_cce_vector_intrinsics.h`. This conflicts with `pto::Stride` (`pto/common/pto_tile.hpp:138`) during unqualified name lookup, even when `using namespace pto;` is in effect.

### Impact

| | Affected |
|---|---|
| **Platform** | A5 (DAV-3510) with bisheng ccec compiler |
| **Not affected** | A2A3 (older ccec, no conflicting built-in) |
| **Scope** | All PTO kernels using `Stride<...>` unqualified |

### Current Workaround

Manually qualify every `Stride` usage with `pto::`:

```cpp
// Before
using DynStridDim5 = Stride<1, 1, 1, kTCols_, 1>;

// After
using DynStridDim5 = pto::Stride<1, 1, 1, kTCols_, 1>;
```
This is not a sustainable solution — it requires touching all existing kernel code and must be repeated for every future CANN compiler symbol addition.

### Environment

| Field | Value |
|---|---|
| CANN version | 9.0.0 |
| Compiler | bisheng ccec (clang 15.0.5) |
| Compiler path | `/usr/local/Ascend/cann-9.0.0/tools/bisheng_compiler/bin/ccec` |
| Conflicting header | `__clang_cce_vector_intrinsics.h:114` |
| Platform | A5 (DAV-3510) |

### Steps to Reproduce

1. Target the A5 platform with `--cce-aicore-arch=dav-c310-vec`
2. Compile a PTO kernel that uses `using namespace pto;` and references `Stride<...>` without explicit namespace qualification
3. Observe: `error: reference to 'Stride' is ambiguous`

> **Note:** Using `pto::Stride<...>` explicitly avoids the error. The conflict only surfaces with unqualified lookup via `using namespace pto;`.
"
"7","TASSIGN No-Op Under CPU Simulation Breaks Buffer Sharing, Causing `paged_attention` Accuracy Failure","closed","2026-03-11T01:46:55Z","2026-03-17T00:57:22Z","2026-03-17T00:57:22Z","https://github.com/hw-native-sys/pto-isa/issues/7","# TASSIGN No-Op Under CPU Simulation Breaks Buffer Sharing, Causing `paged_attention` Accuracy Failure

## Problem

`TASSIGN` is a no-op under CPU simulation (`-p a2a3sim`), so buffer sharing
across tiles does not actually occur. When multiple tiles are assigned to the
same UB address via `TASSIGN`, each tile retains its own independent `data_`
array in simulation instead of pointing to shared storage. Consequently, writes
performed through one tile (e.g., `TFILLPAD_INPLACE` padding via `sijPadTile`)
are invisible to reads through another tile (e.g., subsequent arithmetic via
`sijTile`), even though both tiles were assigned to UB offset `0x0`.

The root cause is the CPU-side data model: under `__CPU_SIM`, `Tile::data_` is
a C array (`DType[Rows * Cols]`) that cannot be reassigned, so `TASSIGN`
degrades to a no-op (see `pto-isa/include/pto/cpu/TAssign.hpp`). On hardware,
`data_` is a pointer redirected by `assignData()` to the specified UB address.

## Impact

Any kernel that relies on `TASSIGN` buffer sharing — assigning multiple tiles
to the same UB address so that writes through one tile are visible through
another — will produce incorrect results under CPU simulation while working
correctly on hardware.

The immediate impact is on the `paged_attention` example
(`examples/tensormap_and_ringbuffer/paged_attention`), where the softmax
preparation kernel uses this pattern for partial-block masking. In this kernel,
three tiles share UB address `0x0`:

```cpp
TASSIGN(sijTile,    0x0);   // data tile: loaded from GM, consumed by arithmetic
TASSIGN(sijDynTile, 0x0);   // dynamic-cols boundary marker
TASSIGN(sijPadTile, 0x0);   // padded tile: TFILLPAD_INPLACE fills [valid_len, N) with -inf
```

On hardware, `TFILLPAD_INPLACE(sijPadTile, sijDynTile)` pads the shared buffer
in-place, and subsequent operations on `sijTile` see the padded values. Under
simulation, the padding is written to `sijPadTile.data_` (a separate buffer),
so `sijTile` retains the original unpadded data. This causes:

- `TROWMAX` computes an incorrect row maximum (includes garbage values instead
  of `-inf`)
- `TEXP` produces non-zero weights for invalid positions (should be
  `exp(-inf) = 0`)
- Attention weights are incorrectly distributed, corrupting the final output

The error propagates through the entire online softmax accumulation pipeline,
affecting 190 out of 256 output elements.

## Steps to Reproduce

**Environment**: Linux with `g++-15`, simulation platform (`a2a3sim`)

**Reproduction PR**: https://github.com/ChaoWao/simpler/pull/247

Run the `paged_attention` example under simulation:

```bash
python examples/scripts/run_example.py \
    -k examples/tensormap_and_ringbuffer/paged_attention/kernels \
    -g examples/tensormap_and_ringbuffer/paged_attention/golden.py \
    -p a2a3sim
```

The same command with `-p a2a3` (on-device) passes.

## Error Output

```
[INFO] Comparing out: shape=torch.Size([256]), dtype=torch.float32
[ERROR] TEST FAILED: Output 'out' does not match golden.
Mismatched elements: 190/256
rtol=0.01, atol=0.01
```

## Expected Behavior

Simulation (`-p a2a3sim`) should produce results matching the golden reference
within the specified tolerance (`rtol=0.01, atol=0.01`), consistent with the
on-device (`-p a2a3`) result.

## Root Cause Analysis

The failure originates in `aiv_softmax_prepare.cpp` (the softmax preparation
kernel) and is caused by the `TASSIGN` simulation limitation described above.
Below is the detailed data-flow analysis:

### On Hardware (`-p a2a3`) — Correct Behavior

1. `TASSIGN(sijTile, 0x0)`, `TASSIGN(sijDynTile, 0x0)`,
   `TASSIGN(sijPadTile, 0x0)` — all three tiles point to the same physical UB
   buffer at offset `0x0`.
2. `TLOAD(sijTile, sijGlobal)` — loads `sij` data (including garbage in
   `[valid_len, N)` columns for partial blocks) into UB `0x0`.
3. `TFILLPAD_INPLACE(sijPadTile, sijDynTile)` — pads columns `[valid_len, N)`
   with `-inf` **in the shared UB buffer**.
4. `TMULS(sijTile, sijTile, scale)` — operates on the padded data (garbage
   columns are now `-inf`).
5. `TROWMAX` → `TEXP` → `TROWSUM` — softmax correctly produces zero weight for
   invalid positions (`exp(-inf) = 0`).

### Under Simulation (`-p a2a3sim`) — Incorrect Behavior

1. `TASSIGN` is a **no-op** — each tile retains its own independent `data_`
   array.
2. `TLOAD(sijTile, sijGlobal)` — loads data into `sijTile.data_`.
3. `TFILLPAD_INPLACE(sijPadTile, sijDynTile)` — writes `-inf` into
   `sijPadTile.data_` (a **separate buffer**, not `sijTile.data_`).
4. `TMULS(sijTile, sijTile, scale)` — operates on the **unpadded**
   `sijTile.data_`; garbage values in `[valid_len, N)` are not masked.
5. `TROWMAX` picks up garbage → `TEXP(garbage) ≠ 0` → `TROWSUM` is wrong →
   attention weights are corrupted → output diverges from golden.
"
"9","A2/A3 TSCATTER behavior appears flattened while docs describe row-index scatter","closed","2026-03-12T15:10:49Z","2026-03-23T11:50:17Z","2026-03-23T11:50:17Z","https://github.com/hw-native-sys/pto-isa/issues/9","## Summary
During PTO-DSL bring-up for `moe_distribute_combine`, the current A2/A3 `TSCATTER` behavior appears to scatter against flattened destination indices, while `docs/isa/TSCATTER.md` currently describes row-index semantics (`dst[idx[i,j], j] = src[i,j]`).

## Repro
Minimal local smoke on 910B / CANN 9.0.0-beta.1:
- destination tile shape: `2 x 16` fp16
- source tile shape: `1 x 16` fp16
- index tile shape: `1 x 16` int16
- all index values set to `1`

Expected from the current doc text:
- entire destination row `1` should receive the source row

Observed:
- only flattened destination position `1` is updated (last-writer-wins behavior), not the full destination row.

## Why this matters
PTODSL kernel design depends on the semantic contract here. We initially modeled `moe_distribute_combine` with row-local scatter indices and got incorrect results. Switching to chunk-local flattened indices made the local PTO smoke correctness-green.

## Request
Please clarify one of these:
1. The implementation is correct and the docs need to describe flattened destination indexing.
2. The docs are correct and the A2/A3 implementation needs to be fixed.

Either way, the semantic contract should be unambiguous because PTOAS and PTODSL frontends need to generate the right index shapes.
"
"13","A2/A3 lacks native vec quantized-store path for rope-cache kernels","closed","2026-03-13T08:18:10Z","2026-03-23T11:50:41Z","2026-03-23T11:50:19Z","https://github.com/hw-native-sys/pto-isa/issues/13","## Summary
A2/A3 currently has no native vec-tile quantized store path exposed through PTO-ISA for the rope cache style contract (`vec f16 -> GM i8`).

## Evidence
- `TSTORE_IMPL(GlobalData&, TileData&)` for `TileType::Vec` in `include/pto/npu/a2a3/TStore.hpp` hard-checks same source/destination element size and uses the plain vec `TStore` path.
- The quantized overloads in the same file are ACC-only:
  - `TSTORE_IMPL(dst, src, uint64_t preQuantScalar)`
  - `TSTORE_IMPL(dst, src, FpTileData &fp)`
- The current static assertion hit from the rope-cache rewrite is:
  - `Source dtype must be same with dst dtype!`

## Impact
PTODSL rope cache kernels cannot use a fused store-side quantization op for vec tiles. The legal implementation is currently:
1. `TCVT(f16 -> i8)` in vec
2. `TSTORE(i8 -> i8 GM)`

## Request
Either:
- confirm that A2/A3 hardware does not support a vec quantized-store contract and keep `tcvt + tstore` as the intended implementation, or
- add a native vec quantized-store backend contract with matching PTO-ISA intrinsic coverage and legality rules.

## Affected kernels
- `rope_quant_kvcache`
- `dequant_rope_quant_kvcache`
- `qkv_rms_norm_rope_cache`
"
"14","cpu_sim: TRESHAPE copies data instead of aliasing, causing stale reads after source mutation","closed","2026-03-20T09:09:26Z","2026-03-23T11:50:19Z","2026-03-23T11:50:19Z","https://github.com/hw-native-sys/pto-isa/issues/14","## Summary

`TRESHAPE_IMPL` in `include/pto/cpu/TReshape.hpp` performs a **byte-by-byte copy** from source to destination tile. On real hardware, reshape is a zero-cost reinterpretation of the same physical memory (alias). The sim copy semantics diverge: when the source tile is later mutated (e.g. by `TROWSUM`), the reshaped destination tile still holds **stale** pre-mutation data.

## Root Cause

```cpp
// TReshape.hpp:51-56
const std::byte *src_bytes = reinterpret_cast<const std::byte *>(src.data());
std::byte *dst_bytes = reinterpret_cast<std::byte *>(dst.data());
for (size_t i = 0; i < N; ++i) {
    dst_bytes[i] = src_bytes[i];   // ← copy, not alias
}
```

After the TASSIGN aliasing work in 978846f7, `TASSIGN` correctly points `data_` to shared NPU memory via `NPUMemoryModel::GetPointer`. But `TRESHAPE` copies into `dst`'s own buffer (either `internalStorage_` or a separately-assigned region), breaking the alias chain.

## Reproduction

LayerNorm kernel — two `TRESHAPE` calls on the same source tile, separated by a mutation:

```cpp
TROWSUM(v32, v28, v31);      // 1st write to v32: sum(x)
TRESHAPE(v47, v32);           // v47 = copy of v32 → OK for now
TMULS(v33, v47, v13);         // mean = sum(x)/N  ✓

// ... compute centred² ...

TROWSUM(v32, v34, v35);      // 2nd write to v32: sum(centred²)
                               // v47 still holds stale sum(x) — NOT updated
TMULS(v33, v47, v13);         // WRONG: reads sum(x)/N instead of sum(centred²)/N
```

Same pattern with `v48`/`v33` after `TRSQRT`.

### Test Results

| Platform | Without workaround TRESHAPE | With redundant TRESHAPE after each mutation |
|---|---|---|
| **a2a3** (hardware) | PASS ✓ | PASS ✓ |
| **a2a3sim** (cpu_sim) | **FAIL** (123772/131072 mismatch) | PASS ✓ |

Tested on latest `main` (66228909).

## Expected Behavior

`TRESHAPE(dst, src)` should make `dst` a **view/alias** of `src`'s underlying memory, consistent with hardware semantics. Subsequent writes to `src` should be visible through `dst`.

## Suggested Fix

In `__CPU_SIM` mode, `TRESHAPE_IMPL` should redirect `dst.data()` to point at `src.data()` (reinterpret-cast to the destination type) instead of copying, similar to how `TASSIGN_IMPL` works:

```cpp
#ifdef __CPU_SIM
    // Alias: dst points to src's memory (zero-cost reshape, matching hardware)
    dst.data() = reinterpret_cast<typename TileDataOut::DType *>(
        const_cast<std::byte *>(reinterpret_cast<const std::byte *>(src.data())));
#else
    // Hardware: no-op
#endif
```

The existing copy path can be retained as a fallback for non-sim builds."
"15","Support TPUSH/TPOP instructions in CPU simulation (a5sim)","closed","2026-03-20T09:54:44Z","2026-05-28T03:11:26Z","2026-03-23T11:50:18Z","https://github.com/hw-native-sys/pto-isa/issues/15","### Description

Currently, when running simulations with a5sim, only `TLOAD` and `TSTORE` instructions can be used to ensure correctness. The `TPUSH` and `TPOP` instructions are not yet implemented in the CPU simulation model, which limits the ability to test and verify code that relies on these operations.

### Expected Behavior

The CPU simulation (a5im) should fully support `TPUSH` and `TPOP` instructions, allowing them to be used interchangeably with `TLOAD`/`TSTORE` for buffer-ring-based memory operations.

### Impact

Without this support, developers working with the PTO ISA cannot properly simulate code that uses buffer-ring-based push/pop semantics. This creates a gap between the intended ISA behavior and the simulation environment, potentially leading to verification issues or workarounds that don't reflect actual hardware usage.

### Additional Context

- The missing instructions affect the ability to run certain test cases or benchmarks that rely on `TPUSH`/`TPOP`.

- Implementing these would bring the simulator closer to full ISA compliance and improve the development experience."
"24","CPU simulation (a5sim) missing TPipe/TPUSH/TPOP/TFREE support — API mismatch with hardware backend","closed","2026-03-27T03:11:54Z","2026-05-28T03:10:47Z","2026-03-27T08:29:32Z","https://github.com/hw-native-sys/pto-isa/issues/24","## Summary

A working BGEMM example using the TPUSH/TPOP pipe mechanism runs correctly on A5 hardware, but **cannot be simulated on a5sim** (CPU-based simulation on an a2a3 host) because the CPU simulation backend in pto-isa exposes a completely different API from the hardware backend.

**Working example**: The [`a5` branch of lwDavid/simpler](https://github.com/lwDavid/simpler/tree/a5/examples/a5/tensormap_and_ringbuffer/bgemm) contains a BGEMM kernel that uses `TPipe`, `TPUSH`, `TPOP`, `TFREE`, and `get_subblockid()`. It compiles and runs correctly on A5 hardware via CCEC, but fails to compile under `__CPU_SIM`.

## Root Cause: API mismatch between backends

The include chain in `pto_instr_impl.hpp` dispatches by three mutually exclusive guards:

```cpp
#ifdef PTO_NPU_ARCH_A5    →  pto/npu/a5/TPush.hpp     // TPipe, VEC_FIFO support
#ifdef PTO_NPU_ARCH_A2A3  →  pto/npu/a2a3/TPush.hpp   // TPipe, GM_FIFO only
#ifdef __CPU_SIM           →  pto/cpu/TPush.hpp         // TFIFOSync, mutex-based
```

When compiling for a5sim, the compiler defines `__CPU_SIM` but **not** `PTO_NPU_ARCH_A5` (that macro is set by the CCEC hardware compiler only). So the CPU path is taken.

### Hardware path (`PTO_NPU_ARCH_A5`)

`pto/npu/a5/TPush.hpp` provides:

```cpp
TPipe<FlagID, FIFOType, Depth, Period, TileDataProd, TileDataCons>
```

Kernel usage:
```cpp
using PipeT = TPipe<PP_FLAG_ID, FIFOType::VEC_FIFO, PP_FIFO_DEPTH, PP_FIFO_PERIOD,
                    AccTileT, VecFifoTileT>;
TPUSH(tile, pipe);
TPOP(tile, pipe);
TFREE(pipe);
get_subblockid();
```

### CPU simulation path (`__CPU_SIM`)

`pto/cpu/TPush.hpp` provides a **completely different** type:

```cpp
TFIFOSync<FlagID, DataFIFO, ProducerOp, ConsumerOp>
```

- Different name (`TFIFOSync` vs `TPipe`)
- Different template parameters
- Different semantics
- No `TPipe` alias
- No `TPUSH`/`TPOP`/`TFREE` macros that work with it
- No `get_subblockid()` stub

## Suggested Fix

A unified abstraction layer that maps the same API (`TPipe`, `TPUSH`, `TPOP`, `TFREE`) to both hardware intrinsics and CPU simulation primitives. Specifically:

1. **Add a `TPipe` template alias** in `pto/cpu/TPush.hpp` that wraps `TFIFOSync` with matching template parameters
2. **Add `TPUSH`/`TPOP`/`TFREE` implementations** for the CPU backend that work with `VEC_FIFO` type (currently only `GM_FIFO` has a CPU `TPUSH_IMPL`)
3. **Add a `get_subblockid()` stub** returning `0` for single-threaded simulation

This would allow A5 kernels using the pipe mechanism to compile and run under CPU simulation without any source-level `#ifdef` workarounds.

## Current Workaround

In userland code, we use `#ifdef __CPU_SIM` to fall back to GM-based separate tasks — functionally correct, but without the pipe optimization, and requiring duplicated code paths."
"26","a5sim: TPUSH/TPOP simulation produces incorrect results for BGEMM (precision errors)","closed","2026-03-30T02:06:58Z","2026-05-28T03:10:15Z","2026-03-30T04:15:46Z","https://github.com/hw-native-sys/pto-isa/issues/26","## Summary

After PR #25 resolved the API mismatch for `TPipe`/`TPUSH`/`TPOP`/`TFREE` in CPU simulation (closing #24), a5sim can now **compile and run** kernels that use these instructions. However, the BGEMM example produces **incorrect computation results** (precision errors) under a5sim, while the same kernel computes correctly on real A5 hardware.

## Reproduction

```bash
git clone git@github.com:hw-native-sys/simpler.git
cd simpler
git checkout main
python examples/scripts/run_example.py \
    -k tests/st/a5/tensormap_and_ringbuffer/bgemm/kernels \
    -g tests/st/a5/tensormap_and_ringbuffer/bgemm/golden.py \
    -p a5sim
```

The test will complete but report precision/correctness errors when comparing the a5sim output against the golden reference.

## Expected Behavior

a5sim results should match the golden reference (and match real hardware results), within acceptable tolerance.

## Actual Behavior

a5sim produces results with precision errors. The same BGEMM kernel runs correctly on actual A5 hardware with no precision issues.

## Context

- Issue #24 reported that TPUSH/TPOP were unsupported in a5sim (API mismatch)
- PR #25 added CPU simulation support for the A5-style pipe API
- The API now works (compilation and execution succeed), but the underlying simulation logic appears to produce numerically incorrect results for the pipe-based data movement in BGEMM"
"27","Bug: TCOLARGMIN_IMPL / TCOLARGMAX_IMPL duplicate definitions cause ODR violation (a2a3)","closed","2026-03-30T02:36:56Z","2026-03-31T03:31:14Z","2026-03-31T03:31:14Z","https://github.com/hw-native-sys/pto-isa/issues/27","## Description

`pto_instr_impl.hpp` includes both the standalone headers (`TColArgMin.hpp`, `TColArgMax.hpp`) and the unified header (`TColReduceIdx.hpp`) for the a2a3 target. Both sets define `TCOLARGMIN_IMPL` and `TCOLARGMAX_IMPL` with **different implementations**, causing a C++ One Definition Rule (ODR) violation.

When any kernel `#include`s `pto/pto-inst.hpp`, the compiler sees two definitions of each function template and emits a hard error:

```
error: redefinition of 'TCOLARGMIN_IMPL'
error: redefinition of 'TCOLARGMAX_IMPL'
```

## Reproduction

Include `pto/pto-inst.hpp` (which pulls in `pto/common/pto_instr_impl.hpp`) in any a2a3 kernel and compile with ccec.

## Root Cause

In `include/pto/common/pto_instr_impl.hpp`, the a2a3 section includes:

- **Line 57**: `#include ""pto/npu/a2a3/TColArgMax.hpp""` — defines `TCOLARGMAX_IMPL` (line 184)
- **Line 96**: `#include ""pto/npu/a2a3/TColArgMin.hpp""` — defines `TCOLARGMIN_IMPL` (line 184)
- **Line 97**: `#include ""pto/npu/a2a3/TColReduceIdx.hpp""` — **re-defines** both `TCOLARGMIN_IMPL` (line 240) and `TCOLARGMAX_IMPL` (line 245)

The two implementations are also semantically different:
- `TColArgMin.hpp` / `TColArgMax.hpp`: Perform validity checks and dispatch to dtype-specific routines (`TColArgMin16`, `TColArgMax32`, etc.)
- `TColReduceIdx.hpp`: Dispatches through a unified `TCOLARG_DISPATCH` template with an `IsArgMax` bool parameter — no validity checks


## Environment

- Commit: `64cedf5` (sync: merge cann/master into main, 2026-03-29)
- Target: a2a3
- Compiler: ccec (BiSheng)"
"30","CPU sim TMatmul rejects PTOAS-emitted Left tile layout","closed","2026-03-30T11:48:36Z","2026-04-01T03:20:51Z","2026-04-01T03:20:51Z","https://github.com/hw-native-sys/pto-isa/issues/30","## Summary

CPU simulation matmul validation is stricter than the PTOAS-emitted Left tile representation used by current matmul kernels. The CPU TMatmul checker treats !TileLeft::isRowMajor as a required condition even though the generated Left tile remains valid for CPU offset computation.

## Reproduction

1. Export PTO_ISA_ROOT to a pto-isa checkout containing the current CPU sim implementation.
2. In the pypto workspace, run:
   pytest -sv tests/st/runtime/test_matmul.py --save-kernels --dump-passes --platform a2a3sim --forked -k matmulacc_pto_64x64x64
3. Inspect the PTOAS-emitted kernel and note the explicit Left tile form:
   Tile<TileType::Left, ..., BLayout::RowMajor, ..., SLayout::RowMajor, ...>
4. Compare that with the CPU-side TMatmul validation in include/pto/cpu/TMatmul.hpp.

## Expected Behavior

CPU simulation should validate Left tiles based on the constraints that actually affect matmul semantics and offset calculation, so PTOAS-emitted Left tiles that are valid for CPU addressing should be accepted.

## Actual Behavior

The CPU-side CheckMadValid() requires !TileLeft::isRowMajor in addition to TileType::Left and SLayout::RowMajor. That rejects the PTOAS-emitted explicit Left tile form even though CPU GetTileElementOffset() can address it correctly.

## Proposed Fix

Relax the Left tile validation in include/pto/cpu/TMatmul.hpp by removing the !TileLeft::isRowMajor restriction while keeping the remaining role, fractal, dtype, and shape checks intact.

## Environment

- Commit: 7ba5a0ed04b9d35635ac537209c7fe4fc3533d46
- Host platform: Linux (x86_64)
- Related failing system test: pypto tests/st/runtime/test_matmul.py::TestMatmulOperations::test_matmulacc_pto_64x64x64 on a2a3sim

## Notes

The local fix keeps the existing CPU sim address-binding behavior in TAssign.hpp unchanged and only relaxes the overly strict Left tile validation in TMatmul.hpp."
